file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.8_3.fseries,8_3\knot.8_3.fseries,.fseries,8_3,0.024093851755414616,8.755257359180195,8.755257359180195,11.729456046986789,39,1.0,36.0,3.102920290823934e-36,2.592775596985895e-06
knot.8_3d.fseries,8_3\knot.8_3d.fseries,.fseries,8_3d,0.07281096595909811,35.1020523533624,35.1020523533624,-41.15408976318367,566,-1.0,-563.0,-1.9455397411212373e-34,-0.00016256775846491207
knot.8_3z.fseries,8_3\knot.8_3z.fseries,.fseries,8_3z,0.0253828618033025,21.900539734347348,21.900539734347348,-0.06015367577713243,11,-1.0,-8.0,-1.724820904333512e-36,-1.4412466743512709e-06
knot.8_4.fseries,8_4\knot.8_4.fseries,.fseries,8_4,0.03036591501609967,16.867169628842422,16.867169628842422,105.49915416623011,150,1.0,147.0,2.4409492456991247e-35,2.0396378393752722e-05
knot.8_4d.fseries,8_4\knot.8_4d.fseries,.fseries,8_4d,0.04260230041329939,20.348506958576372,20.348506958576372,-9.977073279356034,199,-1.0,-196.0,-3.9263392578291295e-35,-3.2808179582608294e-05
knot.8_5.fseries,8_5\knot.8_5.fseries,.fseries,8_5,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
knot.8_6.fseries,8_6\knot.8_6.fseries,.fseries,8_6,0.02069301647114143,11.766309580887308,11.766309580887308,10.79882799104297,44,1.0,41.0,4.749231389409268e-36,3.9684201000310095e-06
knot.8_6p.fseries,8_6\knot.8_6p.fseries,.fseries,8_6p,0.017828314420188285,11.561158872876113,11.561158872876113,9.684698526235657,63,1.0,60.0,6.82891680209948e-36,5.706188744419525e-06
knot.8_7d.fseries,8_7\knot.8_7d.fseries,.fseries,8_7d,0.029653767463518693,14.103470839252779,14.103470839252779,-16.654985924225787,57,-1.0,-54.0,-7.49754302635236e-36,-6.264887516951434e-06
knot.8_7s.fseries,8_7\knot.8_7s.fseries,.fseries,8_7s,0.021638814651603052,10.741939695360497,10.741939695360497,7.69501031167221,49,1.0,46.0,4.864517203468335e-36,4.064752012344373e-06
knot.8_8d.fseries,8_8\knot.8_8d.fseries,.fseries,8_8d,0.03963069217625852,19.139306154127567,19.139306154127567,-51.41728448909588,114,-1.0,-111.0,-2.091454256490774e-35,-1.7476025969721734e-05
knot.8_9d.fseries,8_9\knot.8_9d.fseries,.fseries,8_9d,0.01540004645764376,11.577765412153752,11.577765412153752,-0.024661319467273488,103,-1.0,-100.0,-1.1397876519587176e-35,-9.52397526447482e-06
knot.12a_1202.short,12a_1202\knot.12a_1202.short,.short,12a_1202,0.1430163586977246,85.76339827490104,85.76339827490104,-0.38767185472687493,12,-1.0,-9.0,-7.598776877705707e-36,-6.349477720623136e-06
knot.12a_1202z6.short,12a_1202\knot.12a_1202z6.short,.short,12a_1202z6,0.11417391178916231,68.85151363658053,68.85151363658053,-0.004972856981808567,16,0.0,0.0,0.0,0.0
knot.15331.short,15331\knot.15331.short,.short,knot.15331,0.115570721393866,69.30368619703026,69.30368619703026,-0.07434517905078435,14,-1.0,-11.0,-7.504957238781433e-36,-6.271082774081892e-06
knot.3_1.short,3_1\knot.3_1.short,.short,3_1,0.011008935041433212,17.07430983121939,17.07430983121939,3.386671953687753,4,1.0,1.0,1.680901868240648e-37,1.4045482759549386e-07
knot.3_1p.short,3_1\knot.3_1p.short,.short,3_1p,0.03223318101624936,19.33471625709646,19.33471625709646,3.613268335825313,3,1.0,0.0,0.0,0.0
knot.3_1u.short,3_1\knot.3_1u.short,.short,3_1u,0.014834955825170906,22.151904315962717,22.151904315962717,3.869804974409839,5,1.0,2.0,4.361544064487741e-37,3.6444716446711193e-07
knot.4_1.short,4_1\knot.4_1.short,.short,4_1,0.03801193290817139,22.796260842780725,22.796260842780725,0.24385280848356272,4,1.0,1.0,2.2442065195202496e-37,1.8752411770344507e-07
knot.4_1d.short,4_1\knot.4_1d.short,.short,4_1d,0.04866747266324846,29.188522246896365,29.188522246896365,-0.031780899166547937,4,-1.0,-1.0,-2.8735007189738867e-37,-2.401074421443998e-07
knot.4_1i8.short,4_1\knot.4_1i8.short,.short,4_1i8,0.03901935312295433,23.399005491890335,23.399005491890335,0.014925333365009922,5,1.0,2.0,4.6070889465032894e-37,3.8496470015558574e-07
knot.4_1p.short,4_1\knot.4_1p.short,.short,4_1p,0.03878547857306192,23.281140441221723,23.281140441221723,0.11937396892615185,5,1.0,2.0,4.583882200716482e-37,3.8302556287450805e-07
knot.4_1z.short,4_1\knot.4_1z.short,.short,4_1z,0.03780777899770743,22.67611348274398,22.67611348274398,-0.0018196768377109049,6,0.0,0.0,0.0,0.0
knot.5_1.short,5_1\knot.5_1.short,.short,5_1,0.016571629863545666,26.262276798289612,26.262276798289612,6.627981276960592,6,1.0,3.0,7.756268435597211e-37,6.481076417901936e-07
knot.5_1p.short,5_1\knot.5_1p.short,.short,5_1p,0.05611833273777839,33.646278924437226,33.646278924437226,6.44309680475897,5,1.0,2.0,6.624700343673385e-37,5.535547090660038e-07
