file,relative_path,ext,knot_id,closure_error,length_series_units,length_m,writhe,crossing_est,sigma,Hvortex_X(b0=3),mass_fluid_kg,mass_energy_kg
knot.8_15.short,8_15\knot.8_15.short,.short,8_15,0.032622206321303186,48.92413949207487,48.92413949207487,7.345133195913537,8,1.0,5.0,2.408199168435192e-36,2.0122721344358198e-06
knot.8_15d.short,8_15\knot.8_15d.short,.short,8_15d,0.029945621862632693,44.90897747379001,44.90897747379001,8.430653030316245,10,1.0,7.0,3.0947844696429416e-36,2.5859773693027997e-06
knot.8_15p.short,8_15\knot.8_15p.short,.short,8_15p,0.03678835481745786,55.16412022869733,55.16412022869733,7.685206070028874,11,1.0,8.0,4.344560859858634e-36,3.6302806135153455e-06
knot.8_16.short,8_16\knot.8_16.short,.short,8_16,0.03191316369006083,47.86185681573723,47.86185681573723,2.115456610765191,8,1.0,5.0,2.355910292547782e-36,1.9685799642580607e-06
knot.8_17.short,8_17\knot.8_17.short,.short,8_17,0.03396143370666217,50.93069439133069,50.93069439133069,-0.3409470551548174,8,-1.0,-5.0,-2.5069680765851285e-36,-2.0948026511072926e-06
knot.8_18.short,8_18\knot.8_18.short,.short,8_18,0.032725604236031575,49.0776319751113,49.0776319751113,0.4834437829753329,8,1.0,5.0,2.4157545485368545e-36,2.018585350154404e-06
knot.8_18z.short,8_18\knot.8_18z.short,.short,8_18z,0.027766937695657985,41.63441610486895,41.63441610486895,0.024519143547163724,12,1.0,9.0,3.688877129149898e-36,3.0823964859888654e-06
knot.8_19t.short,8_19\knot.8_19t.short,.short,8_19t,0.02157449927586436,32.34459323082456,32.34459323082456,8.378608153473198,9,1.0,6.0,1.9105224536725195e-36,1.5964174168522974e-06
knot.8_19u.short,8_19\knot.8_19u.short,.short,8_19u,0.026308767067558504,39.439976461365525,39.439976461365525,8.874424205392044,10,1.0,7.0,2.7179025999189894e-36,2.271057866647059e-06
knot.8_1.short,8_1\knot.8_1.short,.short,8_1,0.026647886623678483,39.958837030129175,39.958837030129175,2.735445507887806,8,1.0,5.0,1.9668989400045017e-36,1.6435251619135019e-06
knot.8_1d.short,8_1\knot.8_1d.short,.short,8_1d,0.03728461012793343,55.90817889071896,55.90817889071896,-1.95908594785052,8,-1.0,-5.0,-2.751975431988234e-36,-2.2995288550158504e-06
knot.8_20r.short,8_20\knot.8_20r.short,.short,8_20r,0.02618554807410813,39.26692746337925,39.26692746337925,1.7845615850718861,8,1.0,5.0,1.9328409870066885e-36,1.6150666063788465e-06
knot.8_21d.short,8_21\knot.8_21d.short,.short,8_21d,0.030604567227871596,45.89918545942473,45.89918545942473,4.907040378900269,10,1.0,7.0,3.163022057493773e-36,2.642996156765702e-06
knot.8_21p.short,8_21\knot.8_21p.short,.short,8_21p,0.03386715063382639,50.79074364770967,50.79074364770967,4.38191441177098,9,1.0,6.0,3.000095115903254e-36,2.506855695956355e-06
knot.8_21r.short,8_21\knot.8_21r.short,.short,8_21r,0.026402869063313204,39.59647122483473,39.59647122483473,4.577817891260898,8,1.0,5.0,1.9490621616770915e-36,1.6286208913420281e-06
